id,count_point_id,aadf_year,region_id,local_authority_id,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
92137,92137,2024,4,19,A4161,Major,lat: 51.4815 long: -3.189,lat: 51.4838 long: -3.1801,318000,176450,51.48103925,-3.18223357,1.00,0.62
92138,92138,2024,4,19,A4161,Major,lat: 51.4915 long: -3.1546,lat: 51.5005 long: -3.1403,320527,177727,51.49288059,-3.14613899,1.80,1.12
92139,92139,2024,4,19,A4161,Major,lat: 51.5005 long: -3.1403,lat: 51.5072 long: -3.1459,320744,179057,51.50486725,-3.14331514,1.80,1.12
92140,92140,2024,4,19,A4232,Major,lat: 51.4934 long: -3.1336,lat: 51.5005 long: -3.1403,321444,178080,51.49618238,-3.13301199,1.40,0.87
92141,92141,2024,4,19,A4160,Major,lat: 51.4701 long: -3.1863,lat: 51.475 long: -3.1751,318171,175513,51.47264071,-3.17955443,1.20,0.75
92142,92142,2024,4,19,A4160,Major,lat: 51.475 long: -3.1751,lat: 51.4756 long: -3.173,318544,175838,51.47561636,-3.17426033,0.20,0.12
92143,92143,2024,4,19,A4160,Major,lat: 51.475 long: -3.1751,lat: 51.4756 long: -3.173,318587,175775,51.47505621,-3.17362680,0.20,0.12
92144,92144,2024,4,19,A470,Major,lat: 51.4779 long: -3.1777,lat: 51.475 long: -3.1751,318372,175974,51.47681408,-3.17676775,0.30,0.19
92200,92200,2024,4,19,A469,Major,lat: 51.5047 long: -3.1985,lat: 51.5514 long: -3.2159,316835,180000,51.51278230,-3.19984422,5.40,3.36
99608,99608,2024,4,19,A4232,Major,A48,M4 Junction 30,321925,182306,51.53423922,-3.12702315,1.10,0.68
99609,99609,2024,4,19,M4,Major,32,30,315545,182415,51.53430050,-3.21901002,9.00,5.59
99768,99768,2024,4,19,A4232,Major,LA Boundary,LA Boundary,316600,174000,51.45880974,-3.20181105,0.20,0.12
99955,99955,2024,4,19,A4160,Major,A470,A4234,318680,176097,51.47796430,-3.17236222,0.60,0.37
99960,99960,2024,4,19,A4055,Major,LA Boundary,A4232,317740,173000,51.44998702,-3.18517322,0.80,0.50
805026,805026,2024,4,19,B4487,Minor,,,322458,180443,51.51756541,-3.11892923,,
805223,805223,2024,4,19,U,Minor,,,312475,175907,51.47532880,-3.26164242,,
805226,805226,2024,4,19,U,Minor,,,316611,180139,51.51399883,-3.20310448,,
806201,806201,2024,4,19,U,Minor,,,316738,175618,51.47337527,-3.20020650,,
811644,811644,2024,4,19,B4488,Minor,,,315690,177394,51.48918557,-3.21571656,,
811648,811648,2024,4,19,B4267,Minor,,,316451,176962,51.48541507,-3.20465595,,
811689,811689,2024,4,19,B4562,Minor,,,322919,181699,51.52891964,-3.11256175,,
811705,811705,2024,4,19,C,Minor,,,320219,179120,51.50535967,-3.15089140,,
811820,811820,2024,4,19,C,Minor,,,318161,181581,51.52718878,-3.18110842,,
811901,811901,2024,4,19,U,Minor,,,315929,176320,51.47956631,-3.21201893,,
812069,812069,2024,4,19,B4562,Minor,,,318440,182292,51.53362069,-3.17725281,,
820011,820011,2024,4,19,U,Minor,,,319677,180605,51.51863238,-3.15903720,,
820012,820012,2024,4,19,U,Minor,,,323020,179826,51.51209589,-3.11069547,,
